# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Thu Jan 15 17:15:18 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 9.69897 1.0784500837 2.4879736904    1.077  0.276  3.7851  4.287    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.45e-13      0.00 7.672e-01 2.205e-01 2.163e-03 5.923e-04 5.392e-03 -1.000 1.231e-02 4.080 4.745 4.679 4.103 3.754 3.460 3.093 2.803 2.770
0.01471 0.00000 9.69897 1.0899400711 2.4899708723    1.089  0.306  3.7863  4.267    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.56e-13      0.00 7.704e-01 2.174e-01 2.138e-03 5.855e-04 5.331e-03 -1.000 1.217e-02 4.006 4.659 4.598 4.027 3.681 3.389 3.024 2.737 2.704
0.01471 0.00000 9.69897 1.1000000238 2.4916801480    1.099  0.334  3.7874  4.247    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.66e-13      0.00 7.730e-01 2.150e-01 2.118e-03 5.802e-04 5.284e-03 -1.000 1.205e-02 3.936 4.578 4.521 3.956 3.612 3.321 2.960 2.675 2.642
0.01471 0.00000 9.69897 1.1066854000 2.4927963084    1.105  0.352  3.7881  4.233    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.74e-13      0.00 7.733e-01 2.147e-01 2.118e-03 5.805e-04 5.286e-03 -1.000 1.205e-02 3.889 4.524 4.470 3.908 3.566 3.276 2.916 2.633 2.601
0.01471 0.00000 9.69897 1.1222512722 2.4953359603    1.121  0.399  3.7897  4.200    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.94e-13      0.00 7.718e-01 2.161e-01 2.137e-03 5.859e-04 5.333e-03 -1.000 1.213e-02 3.773 4.392 4.344 3.789 3.452 3.165 2.809 2.529 2.497
0.01471 0.00000 9.69897 1.1240383387 2.4956223574    1.123  0.404  3.7899  4.196    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.97e-13      0.00 7.716e-01 2.163e-01 2.139e-03 5.866e-04 5.339e-03 -1.000 1.214e-02 3.760 4.377 4.330 3.776 3.439 3.152 2.796 2.517 2.485
0.01471 0.00000 9.69897 1.1352924109 2.4974021462    1.134  0.439  3.7906  4.168    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.14e-13      0.00 7.702e-01 2.175e-01 2.154e-03 5.911e-04 5.379e-03 -1.000 1.226e-02 3.673 4.284 4.238 3.688 3.353 3.067 2.713 2.435 2.404
0.01471 0.00000 9.69897 1.1484307051 2.4994292499    1.147  0.481  3.7911  4.133    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.39e-13      0.00 7.689e-01 2.188e-01 2.170e-03 5.957e-04 5.418e-03 -1.000 1.235e-02 3.569 4.176 4.131 3.583 3.249 2.964 2.611 2.335 2.303
0.01471 0.00000 9.69897 1.1499999762 2.4996678137    1.149  0.486  3.7910  4.129    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.42e-13      0.00 7.687e-01 2.189e-01 2.172e-03 5.962e-04 5.423e-03 -1.000 1.236e-02 3.556 4.164 4.118 3.570 3.236 2.951 2.598 2.321 2.290
0.01471 0.00000 9.69897 1.1568167210 2.5006954761    1.155  0.508  3.7905  4.107    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -2.57e-13      0.00 7.681e-01 2.195e-01 2.179e-03 5.979e-04 5.442e-03 -1.000 1.239e-02 3.500 4.113 4.064 3.514 3.180 2.894 2.540 2.262 2.231
